,index,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,attributes.AgesAllowed,attributes.Open24Hours,attributes.ByAppointmentOnly,attributes.Corkage,attributes.BYOBCorkage,attributes.DriveThru,attributes.GoodForDancing,attributes.CoatCheck,attributes.BestNights,attributes.BYOB,attributes.Smoking,attributes.Music,attributes.BusinessAcceptsBitcoin,attributes.WheelchairAccessible,attributes.RestaurantsTableService,attributes.DogsAllowed,attributes.HappyHour,attributes.BikeParking,attributes.RestaurantsGoodForGroups,attributes.Ambience,attributes.Caters,attributes.GoodForMeal,attributes.NoiseLevel,attributes.RestaurantsReservations,attributes.HasTV,attributes.Alcohol,attributes.RestaurantsAttire,attributes.BusinessAcceptsCreditCards,attributes.GoodForKids,attributes.RestaurantsTakeOut,attributes.RestaurantsDelivery,attributes.OutdoorSeating,attributes.BusinessParking,attributes.WiFi,attributes.RestaurantsPriceRange2,hours.Sunday,hours.Saturday,hours.Friday,hours.Thursday,hours.Wednesday,hours.Tuesday,hours.Monday
0,226,sm5Sl7z9Kx1yXExrdGuZ7g,Cho Buffet,6302 Robinson Centre Dr,Pittsburgh,PA,15205,40.4526444,-80.1602414,1.5,7,0,"Buffets, Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11:0-21:30,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30,11:0-22:30
1,244,goar7zF4G0LdsQ1Y4KS3Iw,Pittsburgh Barbecue Company,1000 Banksville Rd,Pittsburgh,PA,15216,40.4198992597,-80.0300516362,4.0,91,1,"Caterers, Event Planning & Services, Restaurants, Barbeque",,,,,,,,,,,,,,,,,,True,True,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",u'quiet',False,False,u'none',u'casual',True,True,True,False,True,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",'no',2,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,11:0-20:0,,
2,302,grZ6FnfZoj1pQWElAQve3g,Wendy's,2410 W. Liberty,Pittsburgh,PA,15226,40.4002348,-80.0241271,2.0,22,1,"Fast Food, Restaurants, Burgers",,,,,,,,,,,,,,,,,,False,True,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}",False,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",,False,True,u'none',u'casual',True,True,True,False,False,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",u'free',1,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0
3,383,1YC7AbQMlNb5mLUlwwaa3w,Bites and Brews,5750 Ellsworth Ave,Pittsburgh,PA,15232,40.4556962,-79.9308834,3.5,85,0,"Pizza, Barbeque, Chicken Wings, Nightlife, Restaurants, Bars, Beer Bar",,,,,,,,,,,,,,,,,True,True,True,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",True,,u'average',True,True,u'full_bar',u'casual',True,False,True,True,True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",u'free',2,,16:0-0:0,16:0-0:0,16:0-23:0,16:0-23:0,16:0-23:0,16:0-23:0
4,544,y-0Twdg0sIhrh7BFJii8LA,Duquesne Club,325 6th Ave,Pittsburgh,PA,15222,40.441961,-79.998665,5.0,3,1,"Arts & Entertainment, Social Clubs, Signature Cuisine, Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0
5,579,SqoscicPMzL5mJC5JNaD0w,Chaz & Odette,5102 Baum Blvd,Pittsburgh,PA,15224,40.4553023,-79.9436172,3.5,49,0,"Tapas Bars, Gluten-Free, Restaurants, American (Traditional), American (New), Soul Food, African",,,,,,,,,,,,,False,True,True,False,,True,True,"{'romantic': False, 'intimate': True, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",True,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': True, 'brunch': False, 'breakfast': False}",u'quiet',True,False,u'full_bar','casual',True,False,True,True,False,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",u'free',2,,17:0-22:0,11:0-21:0,11:0-21:0,11:0-21:0,,
6,648,keOzwoc28Iac5mA8FD93uA,Bama's Southern Kitchen,600 Brookline Blvd,Pittsburgh,PA,15226,40.3951787,-80.0225039,4.5,16,0,"Restaurants, Soul Food, Barbeque",,,,,,,,,,,,,,,True,,,True,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}",u'average',False,True,u'none',u'casual',True,True,True,False,False,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",,2,11:0-19:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-20:0,11:0-20:0,
7,656,ijNQXC2cBhbkf6iB6D8OJw,Genoa Pizza & Bar,111 Market St,Pittsburgh,PA,15222,40.4388711,-80.0038533,3.0,68,1,"Food, Restaurants, Bars, Nightlife, Italian, Pizza, Food Delivery Services",,,,,,,,,,,,,,,,,True,True,True,"{'touristy': None, 'hipster': False, 'romantic': False, 'divey': None, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': None}",True,"{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}",u'average',True,True,u'full_bar',u'casual',True,True,True,True,False,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",u'free',2,10:0-2:0,10:0-3:0,10:0-3:0,10:0-2:0,10:0-2:0,10:0-2:0,10:0-2:0
8,723,LTPcaw-_IqOfTSDxe8811A,Duke's Pub and Pizza,329 Castle Shannon Blvd,Pittsburgh,PA,15234,40.3762608,-80.0367425,3.0,16,0,"Restaurants, American (New), Pizza",,,,,,,,,,,,,,,True,,,,True,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}",,"{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}",u'average',True,True,u'full_bar',u'casual',True,True,True,False,False,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",u'free',2,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0,11:0-2:0
9,890,_WsGlZnbXBdPcs0qM2Qm7w,Ryan's Pub,607 S Braddock Ave,Pittsburgh,PA,15221,40.4393965,-79.8971839,3.0,18,0,"Restaurants, Barbeque, Burgers, Bars, Pubs, Nightlife",,,,,,,,,,,,,,,,,,True,True,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",,,u'average',False,True,u'full_bar',,True,,,,True,"{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}",u'no',2,,,,,,,
